Tipo de prenda,id tipo de prenda
"BLUSA",100
"CAMISA",101
"CAMISETA",102
"BUZO",103
"CAMISUETER",104
"BERMUDA",105
"PANTALONETA",106
"TEMP",107
"BRAGA PANT.",108
"FALDA",109
"VESTIDO",110
"PANTALON",111
"JEAN",112
"CONJUNTO",113
"SHORT",114
"VEST DE BAÑO",115
"BOXER",116
"SALIDA DE BAÑO",117
"CORREA",118
"ZAPATOS",119
"SANDALIAS",120
"GAFAS",121
"TOALLA",122
"BILLETERA",123
"GORRA",124
"MEDIAS",125
"ENCENDEDOR",126
"PULSERA",127
"GARGANTILLA",128
"LLAVERO",129
"LABIAL",130
"GORRO",131
"BOLSO",132
"MORRAL",133
"CHAQUETA",134
"FALDA SHORT",135
"BOTAS",136
"BRAGA FALDA",137
"CHALECO",138
"MALETIN",139
"PESCADOR",140
"FAJA",141
"PANTY",142
"ENTERIZO",143
"TANGA",144
"PAÑOLETA",145
"BOLA",146
"TUNICA",147
"BODY",148
"COLLAR",149
