barcode,reference,clothing_type_id,gender_id,silhouette_id,color_id,size_id
0175440,,0.0,,,,
0328308,P40568,0.0,,,,
0334170,DAÑADO,0.0,,,,
0633818,001,,,,,06
10011011001300M322,C02309,101.0,1.0,100.0,130.0,0M
10011011002510L4556,C02304,101.0,1.0,100.0,251.0,0L
10011011002510M4557,C02319,101.0,1.0,100.0,251.0,0M
10011011022180S4459,C02307,101.0,1.0,102.0,218.0,0S
10011021001000L5837,H02340,102.0,1.0,100.0,100.0,0L
10011021001000M2309,H02356,102.0,1.0,100.0,100.0,0M
10011021001000M5836,H02340,102.0,1.0,100.0,100.0,0M
10011021001010L2308,H02356,102.0,1.0,100.0,101.0,0L
10011021001060L5834,H02340,102.0,1.0,100.0,106.0,0L
10011021001060M5835,H02340,102.0,1.0,100.0,106.0,0M
10011021001090L2306,H02344,102.0,1.0,100.0,109.0,0L
10011021001120L5832,H02340,102.0,1.0,100.0,112.0,0L
10011021001120M5833,H02340,102.0,1.0,100.0,112.0,0M
10011021001140M2414,H02347,102.0,1.0,100.0,114.0,0M
10011021001160L2415,H02347,102.0,1.0,100.0,116.0,0L
10011021001170M2307,H02344,102.0,1.0,100.0,117.0,0M
10011021001400M2407,H02348,102.0,1.0,100.0,140.0,0M
10011021001440L2310,H02353,102.0,1.0,100.0,144.0,0L
10011021001760L2408,H02348,102.0,1.0,100.0,176.0,0L
10011041021290L324,C02308,104.0,1.0,102.0,129.0,0L
10011041021290M323,C02308,104.0,1.0,102.0,129.0,0M
1001111126103345754,P02054,111.0,1.0,126.0,103.0,34
1001111126109305756,P02054,111.0,1.0,126.0,109.0,30
1001111126143305755,P02054,111.0,1.0,126.0,143.0,30
1001111126143341194,P02054,111.0,1.0,126.0,143.0,34
1001112124114328858,P02235,112.0,1.0,124.0,114.0,32
1001112124114368859,P02235,112.0,1.0,124.0,114.0,36
1001112124116288856,P02235,112.0,1.0,124.0,116.0,28
1001112124116348857,P02235,112.0,1.0,124.0,116.0,34
10021001001000M19,H01779,100.0,2.0,100.0,100.0,0M
10021001001020M8,H01789,100.0,2.0,100.0,102.0,0M
10021001001030M11,H01789,100.0,2.0,100.0,103.0,0M
10021001001040S12,H01789,100.0,2.0,100.0,104.0,0S
10021001001070M21,H01773,100.0,2.0,100.0,107.0,0M
10021001001140S14244,H01368,100.0,2.0,100.0,114.0,0S
10021001001270U15335,H01337,100.0,2.0,100.0,127.0,0U
10021001001830L10178,H01179,100.0,2.0,100.0,183.0,0L
10021001001830M10177,H01179,100.0,2.0,100.0,183.0,0M
10021001001830S10176,H01179,100.0,2.0,100.0,183.0,0S
10021001002050M9500,H01106,100.0,2.0,100.0,205.0,0M
10021001002050M9513,H01119,100.0,2.0,100.0,205.0,0M
10021001002050S9499,H01106,100.0,2.0,100.0,205.0,0S
10021001002050S9512,H01119,100.0,2.0,100.0,205.0,0S
10021001002170M4056,H01765,100.0,2.0,100.0,217.0,0M
10021001002380M10174,H01179,100.0,2.0,100.0,238.0,0M
10021001002380S10173,H01179,100.0,2.0,100.0,238.0,0S
