quantity,barcode,damaged
0.0,11921181331060U57070,1
0.0,11921192111010679936,1
0.0,11921192111020677010,1
0.0,11921271331270U52682,1
0.0,11921271331270U52683,1
0.0,11921581331270U53791,1
0.0,11921581331270U55800,1
0.0,17921001001060S74139,1
0.0,17921001001860M71773,1
0.0,17921001008150M71578,1
0.0,17921001011010M73462,1
0.0,17921001012910M73459,1
0.0,17921001061090M69706,1
0.0,17921003971050M78252,1
0.0,179210041910200M80232,1
0.0,17921101001830M64221,1
0.0,179211010110000S81618,1
0.0,17921101029300S71843,1
0.0,17921102851020M170899,1
0.0,17921103189950L156628,1
0.0,17921103189950L157116,1
0.0,17921104235710M78623,1
0.0,17921104851120L83230,1
0.0,17921114271340U64931,1
0.0,17921114281090U63616,1
0.0,17921114281340U63614,1
0.0,17921201951010785265,1
0.0,17921271331680U72240,1
0.0,17921511331680U72273,1
0.0,17921514561140U76529,1
0.0,17921514561680U76532,1
0.0,17921581331270U62566,1
0.0,17921581331270U62568,1
0.0,17921581331590U78020,1
0.0,17921581331680U79844,1
0.0,17921581331680U79846,1
0.0,17921581331680U79876,1
0.0,17921581331680U79890,1
0.0,17921581331680U79891,1
0.0,17921581331680U79895,1
0.0,17921581332660U72384,1
0.0,17921584441010U81492,1
0.0,17921611331060U71447,1
0.0,18021001001090M69523,1
0.0,18021001002590M78179,1
0.0,18021104231600M76780,1
0.0,18021104231600S76779,1
