invoice_id,invoice_date,barcode,discount_percentage,price
20901,2020-01-25,182210985123210M342923,0.1,299900
20901,2020-01-25,18221008571010M341755,0.1,69900
20901,2020-01-25,20121008001600S332633,0.1,60000
20901,2020-01-25,18221004551090S341913,0.1,69900
20901,2020-01-25,18221008571110S341760,0.1,69900
20902,2020-01-25,182210080522070S338116,0.0,49900
20902,2020-01-25,182210985423190S342917,0.0,299900
20903,2020-01-25,182210985423190S342917,0.0,299900
20903,2020-01-25,18221008571010S341754,0.0,69900
20903,2020-01-25,182210080522120L338133,0.0,49900
20903,2020-01-25,18221101091020S342534,0.0,299900
20904,2020-01-25,18221001023090M342749,0.0,152900
20905,2020-01-27,18221008491050S341462,0.0,79900
20762,2019-12-29,18221101099830L338426,0.0,200000
20763,2019-12-29,182211010913040L338478,0.0,200000
20764,2019-12-30,182210010016950M340034,0.0,79900
20764,2019-12-30,182210010018700L339909,0.0,99900
20765,2019-12-30,182210010010720L339917,0.0,99900
20766,2019-12-30,182210010210610M342404,0.0,89900
20767,2019-12-30,182210067015690S339691,0.0,79900
20767,2019-12-30,182211478122690S341699,0.0,119900
20768,2019-12-30,18221134039790L342445,0.0,339900
20708,2019-12-23,182210019612440S340660,0.0,90000
20708,2019-12-23,18221147811020M341708,0.0,119900
20709,2019-12-23,18221008329800M339760,0.0,119900
20710,2019-12-23,18221091071850M342159,0.0,99900
20711,2019-12-24,20121001001010S333061,0.0,50000
20712,2019-12-24,182210010722720M342150,0.0,94900
20713,2019-12-24,18221101149780S342512,0.0,229900
20714,2019-12-24,18221001011020S342745,0.0,136900
20715,2019-12-24,182211277544807342569,0.0,149900
20715,2019-12-24,18221091074380S342261,0.0,99900
20715,2019-12-24,18221001021020S342021,0.0,149900
20716,2019-12-24,182211083722440M340881,0.0,159900
20717,2019-12-24,18221147451020M338716,0.0,80000
20718,2019-12-24,18221001025230M342060,0.0,149900
20719,2019-12-24,18221147451340M338743,0.0,80000
20719,2019-12-24,182210083222570M339763,0.0,119900
